2,11,16
1,1
2,2
0,0,1
0,1,1
0,2,1
0,3,1
0,4,1
0,5,1
0,6,1
0,7,1
0,8,1
0,9,0
0,10,1
0,11,1
0,12,1
0,13,1
0,14,1
0,15,1
0,16,1
0,17,1
0,18,1
0,19,1
0,20,1
1,0,1
1,1,0
1,2,1
1,3,0
1,4,0
1,5,0
1,6,1
1,7,0
1,8,0
1,9,0
1,10,0
1,11,0
1,12,0
1,13,0
1,14,0
1,15,0
1,16,0
1,17,0
1,18,1
1,19,0
1,20,1
2,0,1
2,1,0
2,2,1
2,3,0
2,4,1
2,5,0
2,6,1
2,7,1
2,8,1
2,9,0
2,10,1
2,11,1
2,12,1
2,13,1
2,14,1
2,15,0
2,16,1
2,17,0
2,18,1
2,19,0
2,20,1
3,0,1
3,1,0
3,2,0
3,3,0
3,4,1
3,5,0
3,6,0
3,7,0
3,8,1
3,9,0
3,10,0
3,11,0
3,12,1
3,13,0
3,14,0
3,15,0
3,16,1
3,17,0
3,18,0
3,19,0
3,20,1
4,0,1
4,1,1
4,2,1
4,3,1
4,4,1
4,5,1
4,6,1
4,7,0
4,8,1
4,9,1
4,10,1
4,11,0
4,12,1
4,13,0
4,14,1
4,15,1
4,16,1
4,17,1
4,18,1
4,19,0
4,20,1
5,0,1
5,1,0
5,2,0
5,3,0
5,4,1
5,5,0
5,6,1
5,7,0
5,8,0
5,9,0
5,10,1
5,11,0
5,12,1
5,13,0
5,14,1
5,15,0
5,16,0
5,17,0
5,18,1
5,19,0
5,20,1
6,0,1
6,1,0
6,2,1
6,3,0
6,4,1
6,5,0
6,6,1
6,7,1
6,8,1
6,9,0
6,10,1
6,11,1
6,12,1
6,13,0
6,14,1
6,15,0
6,16,1
6,17,0
6,18,1
6,19,0
6,20,1
7,0,1
7,1,0
7,2,1
7,3,0
7,4,0
7,5,0
7,6,1
7,7,0
7,8,1
7,9,0
7,10,0
7,11,0
7,12,0
7,13,0
7,14,1
7,15,0
7,16,1
7,17,0
7,18,1
7,19,0
7,20,1
8,0,1
8,1,0
8,2,1
8,3,0
8,4,1
8,5,1
8,6,1
8,7,0
8,8,1
8,9,1
8,10,1
8,11,1
8,12,1
8,13,1
8,14,1
8,15,0
8,16,1
8,17,1
8,18,1
8,19,0
8,20,1
9,0,1
9,1,0
9,2,1
9,3,0
9,4,1
9,5,0
9,6,0
9,7,0
9,8,0
9,9,0
9,10,1
9,11,0
9,12,1
9,13,0
9,14,0
9,15,0
9,16,0
9,17,0
9,18,0
9,19,0
9,20,1
10,0,1
10,1,0
10,2,1
10,3,1
10,4,1
10,5,0
10,6,1
10,7,0
10,8,1
10,9,1
10,10,1
10,11,0
10,12,1
10,13,0
10,14,1
10,15,1
10,16,1
10,17,1
10,18,1
10,19,1
10,20,1
11,0,1
11,1,0
11,2,0
11,3,0
11,4,1
11,5,0
11,6,1
11,7,0
11,8,0
11,9,0
11,10,1
11,11,0
11,12,0
11,13,0
11,14,1
11,15,0
11,16,0
11,17,0
11,18,0
11,19,0
11,20,1
12,0,1
12,1,0
12,2,1
12,3,0
12,4,1
12,5,0
12,6,1
12,7,1
12,8,1
12,9,0
12,10,1
12,11,0
12,12,1
12,13,1
12,14,1
12,15,0
12,16,1
12,17,1
12,18,1
12,19,0
12,20,1
13,0,1
13,1,0
13,2,1
13,3,0
13,4,1
13,5,0
13,6,1
13,7,0
13,8,1
13,9,0
13,10,0
13,11,0
13,12,1
13,13,0
13,14,0
13,15,0
13,16,1
13,17,0
13,18,0
13,19,0
13,20,1
14,0,1
14,1,1
14,2,1
14,3,0
14,4,1
14,5,0
14,6,1
14,7,0
14,8,1
14,9,1
14,10,1
14,11,1
14,12,1
14,13,1
14,14,1
14,15,1
14,16,1
14,17,0
14,18,1
14,19,0
14,20,1
15,0,1
15,1,0
15,2,0
15,3,0
15,4,0
15,5,0
15,6,1
15,7,0
15,8,0
15,9,0
15,10,0
15,11,0
15,12,0
15,13,0
15,14,1
15,15,0
15,16,0
15,17,0
15,18,1
15,19,0
15,20,1
16,0,1
16,1,0
16,2,1
16,3,1
16,4,1
16,5,1
16,6,1
16,7,1
16,8,1
16,9,1
16,10,1
16,11,0
16,12,1
16,13,1
16,14,1
16,15,0
16,16,1
16,17,0
16,18,1
16,19,1
16,20,1
17,0,1
17,1,0
17,2,0
17,3,0
17,4,0
17,5,0
17,6,0
17,7,0
17,8,0
17,9,0
17,10,0
17,11,0
17,12,0
17,13,0
17,14,0
17,15,0
17,16,1
17,17,0
17,18,0
17,19,0
17,20,1
18,0,1
18,1,1
18,2,1
18,3,1
18,4,1
18,5,1
18,6,1
18,7,1
18,8,1
18,9,1
18,10,1
18,11,1
18,12,1
18,13,1
18,14,1
18,15,1
18,16,1
18,17,0
18,18,1
18,19,1
18,20,1
19,0,1
19,1,0
19,2,0
19,3,0
19,4,0
19,5,0
19,6,0
19,7,0
19,8,0
19,9,0
19,10,0
19,11,0
19,12,0
19,13,0
19,14,0
19,15,0
19,16,0
19,17,0
19,18,0
19,19,0
20,0,1
20,1,1
20,2,1
20,3,1
20,4,1
20,5,1
20,6,1
20,7,1
20,8,1
20,9,1
20,10,1
20,11,1
20,12,1
20,13,1
20,14,1
20,15,1
20,16,1
20,17,1
20,18,1
20,19,1
20,20,1
